Decoherence,Initial Fidelity,Average EG Time,Average EP Time,Average Success Rate,Average Final Fidelity,Average Throughput
0.018,0.6,14.412020135518,36.788720348352,0.533865436294177,0.4305162921417871,0.0
0.018,0.65,14.445620137433,36.522220346086,0.5445777308237758,0.49300026853622,0.0
0.018,0.7,14.557240135353,35.160420329227,0.5608623370834613,0.5141213094820102,0.0
0.018,0.75,14.527600135653,34.960420326247,0.5666224629900567,0.5338724926046886,0.0
0.018,0.8,14.800380137158,34.004420314441,0.5896404296393458,0.6067470405065601,0.0
0.018,0.85,14.506760132792,32.620060299144,0.6057367458180171,0.5970437043299028,0.0
0.018,0.9,14.638580134232999,32.831320299439,0.6249395405864027,0.6597908604957993,0.0
0.055,0.6,23.736940145971,24.572840149912,0.5440948620056234,0.4610604929436447,0.0
0.055,0.65,23.844220144793,39.073920234709,0.5603373734977787,0.515597505490933,0.0
0.055,0.7,24.369040146191,38.776700230643,0.5772279162062797,0.5048462888273996,0.034
0.055,0.75,24.374480142587,47.509560278212,0.592432118914636,0.6629389073731298,0.02
0.055,0.8,24.505840144,46.706160269536,0.6080220902505518,0.586870895160903,0.026000000000000002
0.055,0.85,24.8217001394,46.060460258481,0.6312797949427693,0.6068817223478093,0.024
0.055,0.9,25.386660140118,45.857000252797,0.6530872711574321,0.7136883079257583,0.0
-1.0,0.6,13.393340188975,21.976640310072998,0.6076350888551968,0.6204379562043796,22.584
-1.0,0.65,13.465720189956,20.926360295218,0.647443687627588,0.6790657439446368,23.868000000000002
-1.0,0.7,13.48028019021,19.979540281907,0.681786120372782,0.7352941176470588,25.401999999999997
-1.0,0.75,13.525640190809,18.986100267841998,0.7172571102563117,0.7884615384615383,26.612000000000002
-1.0,0.8,13.482240190140999,17.532760247302,0.7745228407734841,0.8381502890173411,28.77
-1.0,0.85,13.411960189266999,16.382380231154,0.8197162968259828,0.8841463414634145,30.529999999999994
-1.0,0.9,13.525080190773,15.247680215068,0.8746815786995799,0.9263959390862944,32.647999999999996
