Decoherence,Initial Fidelity,Average EG Time,Average EP Time,Average Success Rate,Average Final Fidelity,Average Throughput
0.018,0.6,13.92900013076,34.985000324699996,0.5366412213740458,0.3738130644210399,0.0
0.018,0.65,14.418800138749999,37.67520035683,0.5277554304102977,0.4137008251888175,0.0
0.018,0.7,15.33280014932,36.98980035684,0.5700245700245701,0.46757875390542347,0.0
0.018,0.75,14.564400138969999,36.7344003527,0.5742092457420924,0.4722959414597691,0.0
0.018,0.8,14.00420012659,32.561600296,0.58671875,0.48486191736718137,0.0
0.018,0.85,14.75040013364,34.11180031598,0.5802075019952115,0.7688176264461897,0.0
0.018,0.9,14.23420012937,31.78600028659,0.6137607505863957,0.7283895737197532,0.0
0.055,0.6,23.95860013963,49.29500029425,0.5618101545253863,0.533553153540521,0.0
0.055,0.65,23.15400013475,47.54800027818,0.5611052072263549,0.6058206005160293,0.0
0.055,0.7,22.90620013654,48.26440028202,0.5585392051557465,0.6418393555305698,0.02
0.055,0.75,24.42060014097,47.32860028178,0.602957906712173,0.48315071930768144,0.04
0.055,0.8,24.61540015229,48.29860029211,0.5972382048331415,0.503226407989337,0.04
0.055,0.85,24.71540014107,46.877200265889996,0.6270588235294118,0.5679808848630464,0.04
0.055,0.9,25.82800013957,44.446400236209996,0.6866585067319462,0.7429385671386349,0.0
-1.0,0.6,14.08620019871,22.62120031908,0.6118995633187773,0.6204379562043796,22.419999999999998
-1.0,0.65,13.30640018769,19.62660027685,0.6473988439306358,0.6790657439446367,24.639999999999997
-1.0,0.7,13.14400018539,19.53560027564,0.690631808278867,0.7352941176470588,25.36
-1.0,0.75,14.30180020189,19.41800027411,0.7232289950576606,0.7884615384615383,26.34
-1.0,0.8,13.48140019011,17.00440023981,0.7842301545018647,0.8381502890173411,29.439999999999998
-1.0,0.85,13.2280001866,16.32960023034,0.8108821975699947,0.8841463414634144,30.700000000000003
-1.0,0.9,13.28680018739,15.19700021439,0.8785599140247179,0.9263959390862944,32.7
